swing_id,camera_angle,skill_level,confidence,address_score,take_away_score,mid_backswing_score,top_score,mid_downswing_score,impact_score,follow_through_score,finish_score,
,,,,,,,,,,,,
B12_F1_I_nn,front,pro,5,90,100,90,100,100,80,100,95,Address: Ball position too far right; Impact: Hip rotation too slow.
B12_F1_O_nn,front,beginner,4,60,50,50,30,70,80,75,50,"Address: Weight too much on heels; Mid-backswing: Loose wrist structure; Top: No hip rotation; Mid-downswing: Loss of wrist lag; Impact: Bent left arm, Poor weight transfer; Follow-through: No body rotation, Left arm not straight; Finish: Incomplete body rotation"
B12_F2_I_nn,front,beginner,4,60,40,40,70,70,50,50,30,"Address: No weight shift forward, Legs too straight; Takeaway: Loss of posture, Early extension; Mid-backswing: Early extension, Loss of balance, Sway to the right; Top: No hip rotation, Upper body sway to the right; Finish: Poor body rotation, Short swing finish"
B12_F2_O_nn,front,beginner,4,60,70,60,65,85,70,75,60,"Address: Weight not on toes, Open clubface, Hands too close to body; Mid-backswing: Left arm not straight, No hip rotation; Top: Unstable wrist structure, Excessive lag; Follow-through: No hip rotation, Left arm not straight, Club path too inside; Finish: Right foot not rotated, Incomplete swing finish"
B12_F3_I_nn,front,beginner,4,60,68,60,80,70,55,55,40,"Address: Weak grip; Takeaway: Right arm not straight; Mid-backswing: Right arm not straight, No wrist lag, Sway to the right; Mid-downswing: Head not maintained at original position; Follow-through: Bent left arm, Open clubface; Finish: Incomplete swing finish, Right foot not rotated toward target"
B12_F4_I_nn,front,beginner,4,10,20,30,65,50,30,15,20,"Address: Feet not evenly aligned, Stance not shoulder-width; Takeaway: Hands and club not moving together; Mid-downswing: No wrist lag; Follow-through: Left arm tucked in; Finish: Incomplete swing finish"
B12_F5_I_nn,front,beginner,4,5,50,60,50,50,40,30,10,"Address: No spine bend, Legs not flexed; Takeaway: No wrist lag; Mid-downswing: No hip rotation, Overuse of hands; Follow-through: No hip rotation, Left arm tucked in"
B12_F5_O_nn,front,beginner,4,60,60,50,70,70,70,70,55,"Address: Weight not on toes; Mid-backswing: No wrist lag; Finish: Incomplete body rotation, No foot rotation"
B12_S1_O_nn,side,beginner,4,50,70,80,40,80,75,60,30,"Address: No weight shift forward, Hands too close to body; Takeaway: Club pulled too far inside, Left arm not straight; Mid-backswing: Uncomfortable posture, Excessive tension; Follow-through: Left arm not straight, Club too far behind body; Finish: Loss of posture, Incomplete swing finish"
